"id","date_time_ist","workstream","kind","intended_outcome","files_changed","baseline","behaviour_before","behaviour_after","claimed_validation","independently_inspected_evidence","outstanding_work","roadmap_stage","owning_adrs","evidence_paths"
"C25","2026-09-08 08:47-09:14 (backup 03:17:07Z; creates 03:26:05Z and 03:28:59Z; cleanup 03:32:23Z; Docker source fetched 03:37:17Z; validation 03:44:35Z); entry 011","5","failed-candidate","W3.2b2d2 launch/recovery experiment: two bounded runs, both failed in case 1 when cleanup rejected a full configuration mismatch (HostConfig.OomKillDisable false -> null after start); empty-PortBindings hypothesis insufficient; contract v1 prepared","reports/research/launch-recovery-2026-09-08/run_probe.py (two executed hashes recorded); reports/waves/w3-2b2d2-launch-admission.md, w3-2b2d2-launch-experiment.md, w3-isolated-execution-contract-v1.md, w3-2b2d2-identity-compatibility.md; runtime unchanged (812/306 reused)","Runtime 306 hashes verified; prior evidence sha recorded","Expected: 6 lifecycle cases accepted","0 of 6 accepted; run limit (2) reached; 2 containers started and removed; 1 image imported and removed; pinned moby v27.3.1 source files fetched with hashes (web access used)","research_full_runs 2, research_failed_runs 2, repair_cycles 1, accepted_observations 0","Manifest identity_comparison shows single field change OomKillDisable false->null with before/after inspection hashes; on disk w3-2b2d2 probe-01/probe-02 observations.json both status failed. Note: primary_source_references were fetched from raw.githubusercontent.com at 03:37Z (network use during 'offline' window)","Six cases outstanding; comparator to be resolved offline first","W3.2b2d2 contract prepared, experiment incomplete","OPS-001, MEM-001/002/003/005/010, SAF-007, TRU-001","reports/adrl-w3-2b2d2-launch-contract-2026-09-08.md; reports/research/adrl-w3-2b2d2-launch-contract-2026-09-08.json; reports/research/launch-recovery-2026-09-08/run_probe.py; reports/waves/w3-isolated-execution-contract-v1.md"
"C26","2026-09-08 09:32-09:42 (backup 04:02:30Z; experiment frozen 04:06:49Z; cleanup 04:07:34Z; created 04:11:22Z; validation 04:12:08Z); entry 012","5","research","Execution-identity comparator (research only) permitting only the observed OOM false/null on the pinned engine; 101 offline cases; fresh bounded engine batch: 1 identity + 6 lifecycle cases accepted","reports/research/execution-identity-2026-09-08/{execution_identity.py,run_probe.py,test_execution_identity.py,test_probe_reporting.py}; reports/waves/w3-execution-identity-v1.md, w3-identity-launch-experiment-v2.md, w3-isolated-launch-runtime.md; runtime unchanged","Runtime 306 hashes verified","Comparator rejected any post-start difference","7 accepted observations; 7 containers (6 started + manual restart control) created and confirmed absent; findings on stop-before-start, lost ack, dead client (fixture exited after 6.12s)","offline 93/1 first (negative fixture assigned unchanged value) then 101/0; research_failed_stage_invocations 0; engine repair cycles 0","Manifest read: offline_initial_result, cleanup ids (7) confirmed_absent 7, image_removed true; on disk w3-identity dir has identity-01/lifecycle-01 logs, offline-first-run.json. Did not rerun","Runtime launch not yet implemented","W3.2b2d2 research validated, runtime pending","OPS-001, MEM-001/002/003/005/010, SAF-007, TRU-001","reports/adrl-w3-execution-identity-2026-09-08.md; reports/research/adrl-w3-execution-identity-2026-09-08.json; reports/research/execution-identity-2026-09-08/"
"C27","2026-09-08 09:47-10:41 (backup 04:17:13Z; engine creates from 04:45:49Z; operator cleanup exception 04:52:18Z; checks-01 failed 04:54:52Z; checks-02 cancelled 04:57:32Z; checks-03 passed 04:58:43Z; created_at 05:08:37Z; validation 05:11:34Z); entry 013","5","implementation","W3.2b2d2 isolated one-shot launch prototype (migration 0012): launch markers, claim/ack/seal/stop/discard history, serialized recovery; fixed engine-info 404 misread as absence; engine qualification incomplete","20 runtime files (new: core/execution_control.py, core/isolated_execution.py, core/launch_markers.py, migrations/0012_launch_history.sql, docs/isolated-execution.md, tests/fixtures/launch_owner.py, tests/fixtures/seccomp-v27.3.1.json, tests/integration/test_launch_engine.py, tests/unit/test_isolated_execution.py; modified container_control.py, resource_owner.py, 6 tests, docs x2, tools/check_data_inventory.py); patch +2528/-22","W3.2b2d1 source_after (306); source_before 315 in manifest","No launch capability; 404 from engine info treated as absence","Internal pinned-fixture launch; schema 12; 370 fields; 111 modules","861 passed + 8 skipped, 11 checks, 315 inputs; focused 39/1 then 47, 96, 50, 52; engine run1 3/1 (wrong exception class), run2 3/1 (lost stopped-create reply, cause unretained); 8 creates, 7 receipts, one never-started candidate removed as operator exception; runner lacked fail-fast","On disk: checks-01 tests.log '1 failed, 747 passed, 8 skipped' (test_existing_binding_survives_mode_migration stale schema-11 assertion), checks-02 tests 'cancelled', checks-03 '861 passed, 8 skipped'; engine-focused-01/02 logs show the two 1-failed runs; manifest sha 18c3d640 matches. Frozen runtime matches 304/315","Lost-create cause unknown; engine allowance closed; 8 opt-in engine tests skip when ADRL_RESOURCE_* env unset","W3.2b2d2 prototype offline validated, engine incomplete","OPS-001, MEM-001/002/003/005/010, SAF-007, TRU-001","reports/adrl-w3-isolated-launch-2026-09-08.md; reports/research/adrl-w3-isolated-launch-2026-09-08.json; reports/research/adrl-w3-isolated-launch-2026-09-08.patch; reports/waves/w3-launch-event-contract-v1.md; reports/waves/w3-launch-runtime-engine-acceptance.md; reports/waves/w3-launch-create-receipt-diagnosis.md"
"C28","2026-09-08 10:52-11:19 (backup 05:22:17Z; offline checks 05:37:42Z; engine stopped 05:41:44Z, launch 05:42:05Z, combined 05:43:19Z; created_at 05:48:36Z; validation 05:49:46Z); entry 014","5","bugfix","Execution policy v2: separate tight client per active request, preparation keeps 10s budget; offline fault reproduces a 2.25s reply lost under a 2s budget; fresh engine stages pass; d2 slice closed","9 runtime files (new: tests/unit/test_create_receipt.py; modified container_control.py, execution_control.py, isolated_execution.py, test_launch_engine.py, test_resource_engine.py, test_isolated_execution.py, docs/data-inventory.md, docs/isolated-execution.md); patch +421/-20; waves w3-create-receipt-transport-v2.md, w3-transport-v2-engine-acceptance.md, w3-active-copy-custody.md","W3 launch source_after (315)","Preparation and active execution shared a 2s timeout","isolated-fixture-execution-v2; 316 inputs; 371 fields","offline 887 passed 8 skipped; engine combined 895 passed 0 skipped; 26 new cases; 13 creates/13 receipts/13 absence confirmations; 8 synthetic starts; no failed attempts this packet","On disk w3-receipt checks-01 '887 passed, 8 skipped' and checks-engine-01 '895 passed'; manifest shas 77e17008 and 11bdcec3 match. Frozen runtime matches 313/316 (3 files later changed by W7.0a). Historical lost-create cause explicitly still unknown","Active-copy custody, safe extraction, exact capture, real-harness profile","W3.2b2d2 closed (pinned synthetic); full W3 open","OPS-001, MEM-001/002/003/005/010, SAF-007, TRU-001","reports/adrl-w3-transport-receipts-2026-09-08.md; reports/research/adrl-w3-transport-receipts-2026-09-08.json; reports/research/adrl-w3-transport-receipts-2026-09-08.patch"
"C29","2026-09-08 ~11:19 (prepared after C28; deferred at 11:59:47 IST / 06:29:47Z)","5","prepared-not-executed","W3.2b2e active-copy custody packet: map plaintext copies, reproduce a bounded fault, freeze smallest correction","reports/waves/w3-active-copy-custody.md","n/a","n/a","Packet exists; execution state deferred_work records it as unfinished","None","Opened packet head and execution-state deferred_work entry (deferred_at 06:29:47Z, status unfinished)","Whole packet","W3.2b2e next","MEM-003, MEM-010, SAF-007","reports/waves/w3-active-copy-custody.md"
"C30","2026-09-08 11:31-11:39 (journey summary update 06:05:45Z; pptx v1 then v2; content review 06:09:22Z)","9","reporting","Executive progress deck (12 slides) and 2-page PDF brief; executive review report; journey summary refresh after entry 014","reports/adrl-executive-review-2026-09-08.md; output/adrl-executive-2026-09-08/{ADRL-Executive-Progress-v2.pptx,ADRL-Executive-Brief.pdf}; build scratch in register .codex-executive-build/ (build.mjs, candidate.pptx, first-final.pptx, validation.json, validation-v2.json, content-review.json, sources.json, journey-before.md; excluded from snapshot)","journey-summary-update.json records before/after journey sha; runtime 316 unchanged","No leadership deck","Deck claims: 895 tests, 18 pilot events, 4/7 vs 7/7 chart; two pptx finalization passes (first-final sha f59bb2ee then v2 sha 4abc30cf)","content-review.json: all slides and PDF pages visually reviewed, source references verified, runtime_changes false","Opened content-review.json, journey-summary-update.json, validation-v2.json head and sources.json head on the original disk (outside snapshot). Deck contents not opened. Journey entry 015 later says the deck 'blurred' routing vs infrastructure","Deck superseded in emphasis by routing report","Reporting","n/a","reports/adrl-executive-review-2026-09-08.md; output/adrl-executive-2026-09-08/; /Users/arunmenon/projects/adrl-world-class/.codex-executive-build/content-review.json"
"C31","2026-09-08 11:49-12:00 (runtime baseline 06:19:22Z; results 06:22:00Z; validation 06:30:45Z); entry 015","6","experiment","W7.0 offline routing demonstration: 4 scenarios, 2 cascades, rule-health demotion demo, 24x5x2 stress matrix = 240 decisions; two review hypotheses failed (rename-redesign, explain-implement)","reports/research/routing-demonstration-2026-09-08/{run_demo.py,stress-cases.json,results.json,preview.html,run.log,targeted-tests.log,runtime-baseline.json,validation.json}; reports/adrl-routing-in-action-2026-09-08.md; ADR notes RTG-002/003/006, CAS-001/003/005, LRN-003; runtime unchanged","runtime-baseline.json: 316 inputs, 0 mismatches vs transport-receipts","Untested hypothesis that mixed requests avoid clear-local","Two mixed-intent prompts select local; typo vs misspelling wording changes route; ordinary counts local 9 / cheap 0 / frontier 15","135 targeted tests passed; first driver invocation failed for a missing event-schema argument then corrected; synthetic outcomes in temp ledger","Opened results.json (stress_matrix decision_evaluations 240, review_hypothesis_failures 2, invariant_failures 0), run.log, targeted-tests.log '135 passed', validation.json matrix_decisions 240. The failed first invocation is asserted in the report only; no log of it retained","No recurring rule-health refresh wired in service","W7.0 diagnostic complete (brought forward)","RTG-002/003/006, CAS-001/003/005, LRN-003","reports/adrl-routing-in-action-2026-09-08.md; reports/research/routing-demonstration-2026-09-08/results.json; reports/research/routing-demonstration-2026-09-08/validation.json"
"C32","2026-09-08 11:59 (routing-review-backup; state checkpoint 06:29:47Z); entry 015/016","9","reporting","Roadmap scheduling amendment (show routing earlier; W5 no longer blanket prerequisite); W7.0a packet routing-decision-quality.md; pause hourly heartbeat and switch execution state to planning-only with deferred_work for W3.2b2e","reports/adrl-implementation-roadmap-2026-09-07.md (amendment section); reports/waves/routing-decision-quality.md; reports/research/adrl-execution-state.json; register .codex-executive-build/routing-review-backup/ (16 files + state-before-planning-checkpoint.json)","state-before-planning-checkpoint.json (program_status active, W7.0a diagnostic complete) on original disk","Heartbeat active; W3 custody next","Automation paused; W7.0a and W3 held","blueprint validation: automation_paused_tool_confirmed true","Opened checkpoint json head on disk and execution-state deferred_work (deferred_at 06:29:47Z). Cannot inspect the automation object itself","Restart later authorized as bounded foreground slices only","Scheduling/automation","n/a","reports/research/adrl-execution-state.json; reports/waves/routing-decision-quality.md"
"C33","2026-09-08 12:09-12:10 (sources 06:39:25Z; validation 06:40:24Z); entry 016","7","specification","Adaptive routing and RSI target blueprint (three loops, RTG-007 anchor), 77-decision taxonomy map, 6-source research manifest","reports/adrl-adaptive-routing-rsi-blueprint-2026-09-08.md (24.8KB); reports/research/adaptive-routing-blueprint-2026-09-08/{taxonomy-map.md,taxonomy-map.json,sources.json,hf-llmrouter.json,validation.json}; register .codex-executive-build/blueprint-planning-backup (no manifest)","Runtime 316 unchanged","No target architecture document","Blueprint draft for disposition; decisions/maturity unchanged","687 links ok; 77 map hashes match; implementation_held true","Opened validation.json and sources.json head (RouteLLM, LLMRouterBench, LLMRouter with HF metadata fetched, Replay Gap...). hf-llmrouter.json indicates web fetch of HF paper metadata","User disposition of blueprint","Planning checkpoint","RTG-007 (proposed wording), RTG-002/003/006, LRN, MEM","reports/adrl-adaptive-routing-rsi-blueprint-2026-09-08.md; reports/research/adaptive-routing-blueprint-2026-09-08/validation.json"
"C34","2026-09-08 12:48-13:07 (backup 07:18:08Z; sources 07:26:33Z; validation attempt 1 failed 07:36:36Z; passed 07:37:04Z); entry 017","7","specification","Startup product roadmap (P0-P7, 90-day plan, economics), leadership investment brief, context-graph MEM proposal incl. laptop-local/offline-learning clarification; MEM-007/008 and LRN-004 planning notes","reports/adrl-product-roadmap-2026-09-08.md (71.6KB); reports/adrl-startup-investment-brief-2026-09-08.md; design/adrl-context-graph-memory-proposal-2026-09-08.md (27.1KB); reports/research/product-roadmap-2026-09-08/{sources.json,validate.py,validation-attempt-1.json,validation.json}; register .codex-executive-build/product-roadmap-planning-backup (89 files, 07:18:08Z)","Backup manifest of 89 register files at 07:18:08Z","No startup roadmap; MEM graph not proposed","Roadmap draft; competitive overlap acknowledged; economics illustrative","validation-attempt-1 failed with 2 broken links (CHANGELOG and journey pointing at not-yet-written validation.json); final passed 600 links, 316 hashes, 895 tests reused","Diffed attempt-1 vs final (only link_errors and passed flag differ). Read illustrative_economics_recomputed in validation (net_saving negative at 25% coverage)","Customer discovery not started; pricing hypotheses","Product roadmap","MEM-007, MEM-008, LRN-004 (+6 bucket overviews)","reports/adrl-product-roadmap-2026-09-08.md; reports/adrl-startup-investment-brief-2026-09-08.md; design/adrl-context-graph-memory-proposal-2026-09-08.md; reports/research/product-roadmap-2026-09-08/validation.json"
"C35","2026-09-08 13:33-13:35 (backup 08:03:23Z; validation 08:05:01Z); entry 018","7","specification","Experiment lab plan: simulated conformance vs real execution, frozen experiment records, K0 knowledge snapshot; EVL-005 and LRN-005 planning notes","design/adrl-experiment-lab-plan-2026-09-08.md (15.3KB); adr/EVL/ADRL-EVL-005.md, adr/LRN/ADRL-LRN-005.md, 4 bucket overviews, INDEX, CHANGELOG, roadmap, memory proposal, journey, state; register .codex-executive-build/experiment-lab-planning-backup (87 files)","Backup manifest 87 files at 08:03:23Z","No lab plan","Plan document; runtime unchanged","87 backup files ok; 480 links ok; 316 hashes; 895 tests reused","Opened validation.json (files hashed: 13). All 13 hashes now differ from frozen snapshot for INDEX/CHANGELOG/roadmap/journey/state/overviews/EVL-005/LRN-005/lab plan, i.e. those files were edited again by later passes","Lab A restart packet","Planning","EVL-005, LRN-005","design/adrl-experiment-lab-plan-2026-09-08.md; reports/research/experiment-lab-planning-2026-09-08/validation.json"
"C36","2026-09-08 13:48-13:58 (backup 08:18:40Z; run-1 08:23:30Z; run-2 08:24:09Z; checks 08:24:17Z-08:25:21Z; validation 08:28:12Z); entry 019","6","implementation","Lab A.1 synthetic routing workbench: developer runner, frozen 16-cell suite, readable report, 7 tests; run 1 disqualified (manifest 'source' key collision lost the file-hash map), run 2 accepted","4 new runtime files: tools/run_routing_lab.py, artifacts/lab/routing-suite-v1.json, docs/routing-lab.md, tests/unit/test_routing_lab.py; reports/research/routing-lab-2026-09-08/{run-1,run-2,check-logs,engineering-checks.json,focused-1.log,focused-2.log,validate.py,validation.json}; reports/adrl-lab-first-run-2026-09-08.md; waves/lab-a-routing-experiment.md; ADR notes EVL-005, RTG-002, MEM-001, SEM-007","409 backup files; 316 existing runtime inputs unchanged","No repeatable end-to-end routing/dispatch view","16 planned cells: 15 Messages submissions, 14 dispatches, 10 unique decision ids; counts responded 13 / blocked 1 / upstream_error 1 / unsupported 1; two mixed-intent defects still reproduce","894 passed + 8 skipped, 11 checks, 320 inputs; focused 6 then 7 tests; export_attempts 2, disqualified 1","run-1/manifest.json (6396 B) has 'source': 'synthetic' and no source_manifest; run-2/manifest.json (61008 B) has source_manifest with 320 hashes; QUALIFICATION.md read. On disk lab-a checks tests.log '894 passed, 8 skipped'; manifest sha fe6a04d9 matches. Frozen runtime matches 317/320","No real tasks; Responses cell unsupported","Lab A.1 (P1 slice)","EVL-005, RTG-002, MEM-001, SEM-007","reports/adrl-lab-first-run-2026-09-08.md; reports/research/routing-lab-2026-09-08/validation.json; reports/research/routing-lab-2026-09-08/run-1/QUALIFICATION.md; reports/research/routing-lab-2026-09-08/run-2/report.md"
"C37","2026-09-08 14:06 (backup 08:36:57Z); contract.md","6","specification","Frozen W7.0a correction contract: strongest-signal precedence, preserve mechanical phrases, features-v2 versioning, exploration compatibility refusal, max three failed repairs","reports/research/routing-correction-2026-09-08/contract.md; fresh-cases.json (12 prompts); matrix_driver.py; validate.py","Backup routing-fix-20260908T083657Z","n/a","Contract frozen before code","None","Opened contract.md and confirmed backup path appears in handoff backup list","n/a","W7.0a","RTG-002/003/006, LRN-004/005/008","reports/research/routing-correction-2026-09-08/contract.md; reports/research/routing-correction-2026-09-08/fresh-cases.json"
"C38","2026-09-08 14:09-14:10 (lab-after 08:39:14Z; checks-1 08:39:54Z-08:40:55Z)","6","failed-candidate","W7.0a candidate 1 of features-v2: passed focused tests but over-routed 'add a flag' and failed existing sticky-cascade test (Now fix the second typo -> frontier instead of cheap_cloud)","reports/research/routing-correction-2026-09-08/candidate-1/{docs/adr-module-map.md,docs/routing-features.md,src/adrl/app.py,src/adrl/routing/features.py,tests/unit/routing/test_mixed_intent.py}; after.json; lab-after/; checks-1/","before.json matrices (360 decisions) and checks-final baseline","Original 24-prompt matrix: local 9 / frontier 15","Candidate: original local 7 / frontier 17; fresh local 5 / frontier 7","checks-1: 910 passed, 1 failed, 8 skipped (tests/integration/cascade/test_controller.py::test_tripwire_then_escalation_only_at_boundary_and_sticky)","Hashed all 5 candidate-1 files: they equal checks-1 manifest source_after hashes; 3 of 5 differ from final (features.py, routing-features.md, test_mixed_intent.py). Read the failure traceback in checks-1/tests.log. Diffed candidate features.py vs frozen: final adds ordinal qualifiers and small-edit span overlap logic","Repaired in C39","W7.0a repair cycle 1","RTG-002/003, LRN-004","reports/research/routing-correction-2026-09-08/checks-1/tests.log; reports/research/routing-correction-2026-09-08/candidate-1/; reports/research/routing-correction-2026-09-08/after.json"
"C39","2026-09-08 14:11-14:15 (lab-final 08:41:46Z; checks-final 08:42:01Z-08:43:01Z; validation 08:45:32Z); entry 020","6","bugfix","W7.0a final features-v2: strongest recognized signal wins, mechanical phrases (incl. ordinals) normalized, 'add' inside small-edit span not double counted; exploration refuses feature/contract version mismatch","5 runtime files: src/adrl/routing/features.py, src/adrl/app.py, docs/routing-features.md (new), docs/adr-module-map.md, tests/unit/routing/test_mixed_intent.py (new); implementation.patch +158/-9; after-final.json; lab-final/; checks-final/; route-changes-final.md; ADRs RTG-002/003/006, LRN-004/005/008, FND-002 + overviews","transport-receipts source_after 316 plus lab 320","Two mixed-intent prompts routed local; 'correct a misspelling' routed frontier","Both mixed prompts dispatch frontier (lab-final report); misspelling local; 7 original and 18 fresh condition cells changed; quoted/negated hard words over-route","159 focused tests; 911 passed 8 skipped; 11 checks; 322 inputs; validation passed 523 links; repair_cycles 1","checks-final source_after 322/322 hashes equal frozen runtime; tests.log '911 passed, 8 skipped'; on disk routing-fix checks-final identical sha a1b576e7; before+after-final = 720 decision evaluations counted from JSON (360+360; candidate after.json is a third 360 not counted). after.log and after-final.log identical because both are empty invariant-failure lists","No model quality or savings evidence; v2 learning rows not admitted","W7.0a validated offline","RTG-002/003/006, LRN-004/005/008, FND-002","reports/adrl-routing-correction-2026-09-08.md; reports/research/routing-correction-2026-09-08/validation.json; reports/research/routing-correction-2026-09-08/implementation.patch; reports/research/routing-correction-2026-09-08/route-changes-final.md"
"C40","2026-09-08 after 14:15 (ADRL-NOW.md 'Updated 8 September after Lab A.1 and W7.0a'; later overlay for planning packs)","9","reporting","ADRL-NOW product briefing and routing-correction report; NOW later gained a planning-packs banner and a 'Lab generalizability clarification' section","reports/ADRL-NOW.md; reports/adrl-routing-correction-2026-09-08.md","unknown (no validation hashes NOW)","No single current-status brief","NOW describes before/after routing table, 720 decisions, 911 tests","None specific","Opened NOW head and headings; not listed in any validation document_hashes","n/a","Reporting","n/a","reports/ADRL-NOW.md"
"C41","2026-09-08 between 14:15 and 16:05 (no validation record; referenced by entry 021 and lab plan banner)","8","specification","Planning modes and assessed deliverables design: separate task/phase, native mode, effective permissions, deployment; deterministic vs expert vs delayed-utility evidence; LRN/MEM/EVL admission disposition needed for subjective targets","design/adrl-lab-planning-and-assessment-2026-09-08.md (9.1KB)","unknown","Lab covered coding only","Design extension proposed","None (no validation artifact hashes this file)","Opened head/headings. Not covered by any validation record I found","Everything proposed","Planning deliverables","EVL-005, LRN-005, MEM (per doc)","design/adrl-lab-planning-and-assessment-2026-09-08.md"
"C42","2026-09-08 16:05 (validation 10:35:54Z); entry 021","8","prepared-not-executed","Three synthetic planning task packs (feature-rollout PRD, webhook-delivery HLD, inventory-reservation LLD), shared draft contract, assessment rubric, delivery packet","reports/lab/planning-starter-v1/{tasks.json,manifest.json,contract.md,assessment.md,prd/brief.md,hld/brief.md,lld/brief.md,validation.json}; reports/waves/lab-planning-deliverables.md","Runtime 322 hashes unchanged","No planning tasks","3 task definitions, 15 requirement ids, 6 fingerprinted files; state prepared_not_run; eligible_for_learning false","package_integrity_passed; real_runs 0; model_calls 0","Opened manifest, validation and tasks.json head. Metadata only; no semantic review of briefs performed by author or by me","Contract resolution, W3 custody, Claude Code mode qualification, second adapter","Next lab packet","EVL-005, LRN-005, MEM (dispositions open)","reports/lab/planning-starter-v1/validation.json; reports/waves/lab-planning-deliverables.md"
"C43","2026-09-08 16:06 (execution state updated_at 10:36:28Z); entry 021 and summary refresh","9","reporting","Journey entry 021 and new 'Current position'; execution state program_status bounded_routing_correction_complete_continuation_paused; CHANGELOG/INDEX/LRN README/RTG README/product roadmap/lab plan overlays","reports/adrl-implementation-journey.md; reports/research/adrl-execution-state.json; CHANGELOG.md; INDEX.md; adr/LRN/README.md; adr/RTG/README.md; reports/adrl-product-roadmap-2026-09-08.md; design/adrl-experiment-lab-plan-2026-09-08.md","routing-correction validation document_hashes at 08:45:32Z","Journey ended at entry 020","21 entries; state lists 13 completed slices and current_build_checks 911/8/11/322","None for this pass beyond planning-starter validation","Hash-compared the 20 documents in routing-correction validation with the frozen snapshot: exactly these 7 register files changed afterwards (LRN README, RTG README, INDEX, CHANGELOG, journey, product roadmap, lab plan). Execution state itself is not hashed by any validation","n/a","Reporting","n/a","reports/adrl-implementation-journey.md; reports/research/adrl-execution-state.json"
"C44","2026-09-08 16:16-16:18 (README mtime 16:16; smoke review and recheck; inventory 10:48:41Z)","10","other discovered","Handoff preparation: independent review prompt, evidence-map README, 691-entry inventory manifest, adrl-critical-review skill (Claude and Codex copies) and register AGENTS checkpoint; skill smoke review and recheck executed as two paid claude-fable-5-1 API calls ($0.288 and $0.312 list-price usage)","reports/adrl-independent-review-prompt-2026-09-08.md; reports/research/independent-review-handoff-2026-09-08/{manifest.json,README.md,skill-dispositions.md,skill-recheck.{json,md},skill-smoke-review.{json,md},skill-smoke-metadata.json}; ~/.claude/skills/adrl-critical-review (snapshot skill-claude, skill-codex)","n/a","No review process artifacts","Smoke review found 4 material gaps (undefined coordinator, no freeze, severity not owner-locked, status vocabulary); dispositions applied; recheck 'no remaining material blockers'","README states smoke test is not the two-day review","Opened all handoff files. skill-smoke-review.json and skill-recheck.json carry total_cost_usd 0.312 and 0.288 with modelUsage for claude-fable-5-1 and haiku, i.e. paid model calls occurred in the window outside ADRL runtime while every register validation reports model_calls 0 for ADRL. The manifest.json itself is the only register file not in its own inventory","Independent review (this exercise)","Process","EVL-007 (review roles)","reports/adrl-independent-review-prompt-2026-09-08.md; reports/research/independent-review-handoff-2026-09-08/README.md; reports/research/independent-review-handoff-2026-09-08/skill-smoke-review.json"
"C45","unknown (skill exists in snapshot; no manifest dates it)","10","other discovered","adrl-progress-brief personal skill for explaining progress to the product lead","~/.claude/skills/adrl-progress-brief/SKILL.md (+agents/); snapshot adrl-progress-brief/","unknown","n/a","Skill instructs reading execution state and journey before briefing","None","Opened SKILL.md head. Handoff README calls it 'progress skill'; creation time not established","n/a","Process","n/a","snapshot/adrl-progress-brief/SKILL.md"
"C46","2026-09-03 (pre-window; untracked in git)","10","other discovered","Pre-window untracked register material that the 2 Sep commit does not contain: 3 Sep product report, research critique (344KB), five critique-* files, harness survey, and 26 untracked ADR files (EVL-001..009, OPS-001..008, CAS-009, SEM-007, TRU/)","reports/adrl-product-report-2026-09-03.md; reports/adrl-research-critique-2026-09-03.md; reports/research/critique-*.md; harness-survey-2026-09-03.md; adr/EVL/*, adr/OPS/*, adr/TRU/*, adr/CAS/ADRL-CAS-009.md, adr/SEM/ADRL-SEM-007.md","Register commit 1c172c9 (55 ADRs per implementation-stack.md); 77 ADRs by 7 Sep","n/a","n/a","n/a","git status shows these as untracked; REVIEW-LOG has a 2026-09-03 addendum; artifact-source-check notes TRU added 2026-09-03. Their exact creation dates are not in any manifest; they are baseline for the window, not window work","n/a","Baseline","n/a","REVIEW-LOG.md; git status of /Users/arunmenon/projects/adrl-world-class"
"C47","2026-09-07 23:44 to 2026-09-08 11:19 (aggregate of C15-C28)","5","implementation","Aggregate runtime delta of the W0/W3 chain: 6 schema migrations (0007-0012), 13 new src modules, ~12 new test files, 9 new docs; test count 549 -> 895; declared inputs 280 -> 316","src/adrl/core/{process_anchor,process_owner,attempt_coordinator,container_control,resource_owner,execution_control,isolated_execution,launch_markers}.py; src/adrl/ledger/{capture,attempts}.py, keystore.py; migrations 0007-0012; tools/check_all.py; docs x9","W0 before-hashes; on-disk backups","see rows","see rows","Chain 556, 593, 631, 669, 697, 724, 759, 812, 861+8, 887+8/895","Every count in the chain confirmed from on-disk tests.log tails in /Users/arunmenon/projects/.adrl-execution-state; every recorded check_manifest_sha256 (b1 onward) matches the on-disk manifest. Patches sum to roughly +10,500 added lines across W0-W3","W3 exact-output custody, B2/B3 gates","W3 open","OPS-001, MEM-*, SAF-007, TRU-001","/Users/arunmenon/projects/.adrl-execution-state/*/checks-*/tests.log"
"C48","2026-09-07 ~14:00 to 18:16 (aggregate of C04-C12)","2","implementation","Aggregate pre-W0 runtime delta: product API namespace, profiles, services, observation mode, session verification, improvement experiment; migrations 0003-0006; API preview 1 -> 4; tests 428 -> 549","src/adrl/api/*, src/adrl/wire/{adapters,profiles/*}.py, cli/{product,improvement}.py, ledger/{session_verification,improvement}.py, learning/improvement.py, migrations 0003-0006, docs x5; patches sum roughly +8,960/-2,240 lines","Pre-window runtime unknown (no commits); earliest recorded before-hashes are in C04 manifest (233 unchanged originals verified)","428 tests (per foundation report)","549 tests","Each step's own manifest","Hash chain README 461c98 -> 4b6907 -> debb84 -> 1b46f3 -> f56ac9 -> 88ef3a -> 2c63a5 (W0) links the six manifests in order; pre-C04 state not reconstructible from evidence in the window. Not in execution-state latest_evidence list","n/a","Pre-W0","see rows","reports/research/adrl-product-foundation-2026-09-07.json .. reports/research/adrl-improvement-experiment-2026-09-07.json"
