id,title,bucket,baseline_status,baseline_maturity,current_status,current_maturity,two_day_changes,runtime_refs,scope_actually_supported,assessed_maturity,assessment_vs_recorded,limitations,next_promotion_gate,product_milestone,traceability_check
ADRL-LRN-004,"Pre-decision features, enforced by construction",LRN,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D1 Code — the prohibition is stated in `learning_contract.py` and tested as a rule, but the enforcement mechanisms (decision-time feature snapshot, time-respecting projections, temporal split) do not exist, so leakage is currently prevented by convention",Accepted · amended 2026-09-02,"D2 Tested, review recommends D1 Code — the prohibition is stated in `learning_contract.py` and tested as a rule, but the enforcement mechanisms (decision-time feature snapshot, time-respecting projections, temporal split) do not exist, so leakage is currently prevented by convention",08 Sept sections: Context-graph planning note; W7.0a scoped application and evidence | changelog rows dated 07/08: 0/1 | decision text unchanged | Context-graph planning note (2026-09-08) added without a changelog row.,"modules: adrl/config/checks.py, adrl/config/models.py, adrl/learning/abstention.py, adrl/learning/artifacts.py, adrl/learning/dataset.py, adrl/learning/estimator.py, adrl/ledger/projections.py, adrl/routing/features.py | tests citing id: tests/integration/e2e/test_trust_wiring.py, tests/unit/learning/test_dataset.py, tests/unit/routing/test_mixed_intent.py","Decision-time feature snapshot (features-v2) persisted on decision rows, temporal session-grouped splits, exact feature-version rejection in dataset validation, composition guard for exploration; 159 focused tests.",D2,agree with the claimed D2; the field's claim that enforcement mechanisms 'do not exist' is stale for adrl-core,As-of projection rebuild absent; deny-list check exists in tools/check_learning_contract.py but only for a features-v1 contract; lexical extractor over-routes quotes and negation.,As-of retrieval rebuild and a features-v2 compatible learning contract with its deny-list re-checked.,P1 (context contract) / P5; W7/W9 (baseline review wave W4),INDEX row omits the W7.0a section; the 2026-09-08 context-graph planning note lacks a changelog row.
ADRL-LRN-005,Every artifact is fully versioned,LRN,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the contract (`learning_contract.py`, `learning-contract-v1.json` are tested), with the explicit note that no learned artifact has ever been produced, so the contract has been tested against fixtures only",Accepted · unchanged,"D2 Tested, review recommends D2 Tested for the contract (`learning_contract.py`, `learning-contract-v1.json` are tested), with the explicit note that no learned artifact has ever been produced, so the contract has been tested against fixtures only",08 Sept sections: Experiment-lab planning note; W7.0a scoped application and evidence | 07 Sept sections: Offline verifier improvement implementation | changelog rows dated 07/08: 1/1 | decision text unchanged | Experiment-lab planning note (2026-09-08) added without a changelog row.,"modules: adrl/config/models.py, adrl/learning/artifacts.py, adrl/learning/explore.py, adrl/learning/improvement.py, adrl/ledger/improvement.py | tests citing id: tests/unit/learning/test_artifacts.py","Manifest and graduation-record loading fail-closed, versioned verifier proposals with predecessor metadata, learning contract pinned to features-v1 with v2 rows rejected; no learned artifact produced.",D2 (contract tested against fixtures only),agree,No artifact ever produced; contract v2 fields absent; features-v2 learning contract unqualified.,First real artifact through the manifest; contract v2 fields.,P5; W9 (baseline review wave W4),INDEX row omits the W7.0a section; the 2026-09-08 experiment-lab planning note lacks a changelog row.
ADRL-LRN-006,Abstention with a declared risk-coverage target,LRN,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D0 Design, review recommends D0 Design — nothing built; the amendment adds that the abstention gate should reach D2 *before* the estimator (LRN-003) is trained, which the register itself suggests",Accepted · amended 2026-09-02,"D0 Design, review recommends D0 Design — nothing built; the amendment adds that the abstention gate should reach D2 *before* the estimator (LRN-003) is trained, which the register itself suggests",none,"modules: adrl/learning/abstention.py, adrl/learning/readiness.py | tests citing id: tests/unit/learning/test_abstention.py","Selective-prediction abstention gate with risk-coverage target and kNN OOD detector, tested on synthetic data; not attached to any live estimator.",D2 for the abstention mechanics,recorded-lower (field says 'nothing built'),Unwired; no real calibration data.,Field update; abstention evaluated on real estimator outputs before LRN-003 training.,P5; W9 (baseline review wave W9),Maturity field stale relative to adrl-core; no two-day change.
ADRL-LRN-007,No autonomous online promotion,LRN,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D0 Design, review recommends D0 Design — the graduation pipeline (EVL-006/007) is the thing that would implement it and it has never been exercised",Accepted · unchanged,"D0 Design, review recommends D0 Design — the graduation pipeline (EVL-006/007) is the thing that would implement it and it has never been exercised",07 Sept sections: Offline verifier improvement implementation; Forward implementation plan | changelog rows dated 07/08: 2/0 | decision text unchanged,"modules: adrl/app.py, adrl/cli/improvement.py, adrl/learning/artifacts.py, adrl/learning/improvement.py | tests citing id: tests/unit/learning/test_artifacts.py",Router refuses artifacts without a signed graduation record; offline verifier experiments return review-only recommendations with no automatic adoption; tested.,D2 for the refusal and review-only mechanics; graduation pipeline never exercised end to end,recorded-lower for the mechanics (field D0 'never exercised'); agree for the whole pipeline,Dev-key refusal golden test for graduation records (EVL-007 follow-up) not evidenced; no minuted graduation.,First minuted graduation with a non-dev key.,P6 / P7; W10/W12 (baseline review wave W4),ok
ADRL-LRN-008,Logged exploration in the ambiguous band,LRN,"Proposed 2026-09-02 (new, from adversarial review) [7 Sept baseline; 2 Sept commit: same status, same maturity]","D0 Design, review recommends D0 Design — nothing exists","Proposed 2026-09-02 (new, from adversarial review)","D0 Design, review recommends D0 Design — nothing exists",08 Sept sections: W7.0a scoped application and evidence | changelog rows dated 07/08: 0/1 | decision text unchanged,"modules: adrl/learning/explore.py, adrl/learning/tiers.py, adrl/routing/advisor.py, adrl/routing/router.py | tests citing id: tests/unit/learning/test_explore.py, tests/unit/routing/test_mixed_intent.py","Exploration policy with propensity logging, doubly-robust OPE and pair validation code, advisor exploration port, composition-time refusal when the contract feature version mismatches live features; tested. No exploration artifact exists and exploration cannot be enabled with features-v2.",D2 for the exploration code on fixtures; D0 for any exploration having run,recorded-lower (field says 'nothing exists'),Ambiguous-band share unpublished; v2 contract unqualified.,Disposition; published band share; compatible contract before any explored turn.,P5; W9 (baseline review wave W9),INDEX row omits the W7.0a section; field text contradicts the W7.0a section.
ADRL-MEM-001,Append-only ledger keyed by route_id,MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested (the append discipline is tested; the amended clauses on schema versioning, idempotency and erasure are D0 until a test exists)",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested (the append discipline is tested; the amended clauses on schema versioning, idempotency and erasure are D0 until a test exists)",08 Sept sections: Lab A.1 implementation evidence; W3.1 retained operator captures; W3.2a operator attempt journal; W3.2b2a reserved terminal capacity; W3.2b2b1 persistent key revocation; W3.2b2b2 process coordination; W3.2b2d1 stopped resource ownership; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | 07 Sept sections: Product service evidence; Earlier foundation evidence; Live observation pilot; Session verification implementation; Offline verifier improvement implementation | changelog rows dated 07/08: 5/11 | decision text unchanged,"modules: adrl/api/client.py, adrl/api/contracts.py, adrl/api/service.py, adrl/api/store.py, adrl/cli/ledger_commands.py, adrl/core/attempt_coordinator.py, adrl/core/enums.py, adrl/core/ids.py, adrl/core/isolated_execution.py, adrl/core/launch_markers.py, adrl/core/resource_owner.py, adrl/ledger/attempts.py, adrl/ledger/capture.py, adrl/ledger/events.py, adrl/ledger/facade.py, adrl/ledger/improvement.py, adrl/ledger/keystore.py, adrl/ledger/replay.py, adrl/ledger/session_verification.py, adrl/ledger/store.py, adrl/ledger/upcast.py | tests citing id: tests/unit/ledger/test_events_and_labels.py, tests/unit/test_create_receipt.py, tests/unit/test_data_inventory_migration.py, tests/unit/test_isolated_execution.py, tests/unit/test_ledger_cancellation.py, tests/unit/test_product_client.py, tests/unit/test_product_migration.py","Append-only ledger with CI discipline check, migrations 0003 to 0012 with upcasters, producer/event idempotency for intake, captures, attempts and launch history; Lab A.1 reads real route ids from disposable ledgers.",D2,"agree; the field's parenthetical that schema versioning, idempotency and erasure clauses are 'D0 until a test exists' is stale because adrl-core tests them",Synthetic fixtures only; no multi-process writer qualification; whole-storage rollback unanchored.,Organic ledger under shadow traffic with replay-equivalence measured; anchored rollback detection.,P1 / P2; W3 (baseline review wave W3),"INDEX row omits W3.2b2d1, W3.2b2d2, execution identity, one-shot prototype, receipt correction and Lab A.1 sections."
ADRL-MEM-002,Three-state outcome lifecycle with defined close,MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the state machine only; the closing window has never been measured against organic human corrections, so the claim ""closed_final catches late evidence"" is D0",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested for the state machine only; the closing window has never been measured against organic human corrections, so the claim ""closed_final catches late evidence"" is D0",08 Sept sections: W3.1 retained operator captures; W3.2a operator attempt journal; W3.2b2a reserved terminal capacity; W3.2b2b2 process coordination; W3.2b2c writer-boundary research; W3.2b2d1 stopped resource ownership; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | changelog rows dated 07/08: 0/10 | decision text unchanged,"modules: adrl/cli/ledger_commands.py, adrl/config/models.py, adrl/core/attempt_coordinator.py, adrl/core/isolated_execution.py, adrl/core/resource_owner.py, adrl/learning/tiers.py, adrl/ledger/attempts.py, adrl/ledger/capture.py, adrl/ledger/events.py, adrl/ledger/labels.py, adrl/ledger/outcomes.py, adrl/ledger/readiness.py, adrl/ledger/verification.py | tests citing id: tests/integration/test_launch_engine.py, tests/unit/ledger/test_outcomes.py, tests/unit/test_attempt_capacity.py, tests/unit/test_attempts.py","pending/closed_turn/closed_final state machine, censoring of non-final labels, and the operator attempt journal states (started, close_requested, cancelled, incomplete) with quota-reserved terminal records; no successful task close exists.",D2 for the state machines; D0 for the closing window,agree,Closing window never measured; exact task-close attribution and capture association absent (all attempts learning-ineligible).,"close-v1 parameters measured against organic human corrections; capture-to-close association (W3 custody, extraction).",P1 / P2 (exact evidence); W3 (baseline review wave W3),INDEX row omits the five latest W3 sections.
ADRL-MEM-003,"Verification enriches, never overwrites",MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the non-overwrite contract; note that only one task has strong verification, so the contract has one real exercise",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested for the non-overwrite contract; note that only one task has strong verification, so the contract has one real exercise",08 Sept sections: W3.1 retained operator captures; W3.2a operator attempt journal; W3.2b1 owned process groups; W3.2b2b2 process coordination; W3.2b2c writer-boundary research; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | 07 Sept sections: Session verification implementation; Product application: session verification; Offline verifier improvement implementation | changelog rows dated 07/08: 2/9 | decision text unchanged,"modules: adrl/cli/ledger_commands.py, adrl/core/attempt_coordinator.py, adrl/core/isolated_execution.py, adrl/core/process_owner.py, adrl/learning/improvement.py, adrl/learning/tiers.py, adrl/ledger/attempts.py, adrl/ledger/capture.py, adrl/ledger/events.py, adrl/ledger/labels.py, adrl/ledger/session_verification.py, adrl/ledger/verification.py | tests citing id: tests/integration/test_cli_verify_snapshot.py, tests/unit/learning/test_improvement.py, tests/unit/learning/test_tiers.py, tests/unit/ledger/test_verification.py, tests/unit/test_capture.py","Verification events with provenance, indeterminate result and tree-drift flag; session verifier ran twice on one real repaired task; retained captures return source A after edits to B; container fixture stop/exit observed; no capture is yet bound to a verifier receipt.",D2,agree,One real task with strong verification; no exact-close binding; verifier precision across tasks unknown.,Bind a retained capture to a verifier receipt and a sealed stop for one real task; at least two strongly verified tasks.,P1 / P2; W3/W4 (baseline review wave W3),"INDEX row omits W3.2b2d2, execution identity, one-shot prototype and receipt correction sections."
ADRL-MEM-004,"Cause-typed labels, six types not four",MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the enum and its unit tests; the claim that the typing is *complete* is D0 — no organic failure corpus has been coded against it",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested for the enum and its unit tests; the claim that the typing is *complete* is D0 — no organic failure corpus has been coded against it",none,"modules: adrl/cli/ledger_commands.py, adrl/core/enums.py, adrl/learning/artifacts.py, adrl/learning/tiers.py, adrl/ledger/events.py, adrl/ledger/labels.py, adrl/ledger/outcomes.py, adrl/ledger/readiness.py, adrl/ledger/upcast.py | tests citing id: none (covered indirectly)","Six cause types plus context_feasibility with version, confidence and provenance on labels; tested.",D2,agree,No organic failure corpus coded against the enum.,Organic coded failure corpus with attribution precision.,P2; W7 (baseline review wave W4),ok
ADRL-MEM-005,Prompt-derived artefacts are prompt-class data,MEM,"Superseded 2026-09-02 (see replacement) · replacement amended 2026-09-03 (proposed amendment, pending disposition) [7 Sept baseline; 2 Sept commit: status differs, same maturity]","D2 Tested, review recommends D1 Code for the replacement — the suppression path is tested, but the replacement's storage-class, retention and late-pin clauses have no implementation","Superseded 2026-09-02 (see replacement) · replacement amended 2026-09-03 (proposed amendment, pending disposition)","D2 Tested, review recommends D1 Code for the replacement — the suppression path is tested, but the replacement's storage-class, retention and late-pin clauses have no implementation",08 Sept sections: W3.1 retained operator captures; W3.2a operator attempt journal; W3.2b2a reserved terminal capacity; W3.2b2b1 persistent key revocation; W3.2b2b2 process coordination; W3.2b2d1 stopped resource ownership; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | 07 Sept sections: Product service evidence; Session verification implementation; Offline verifier improvement implementation | changelog rows dated 07/08: 3/10 | decision text unchanged,"modules: adrl/api/client.py, adrl/core/attempt_coordinator.py, adrl/core/container_control.py, adrl/core/execution_control.py, adrl/core/isolated_execution.py, adrl/core/launch_markers.py, adrl/core/ports.py, adrl/core/resource_owner.py, adrl/gates/repo_class.py, adrl/gates/suppression.py, adrl/learning/abstention.py, adrl/ledger/attempts.py, adrl/ledger/capture.py, adrl/ledger/crypto.py, adrl/ledger/embeddings.py, adrl/ledger/erasure.py, adrl/ledger/improvement.py, adrl/ledger/keystore.py, adrl/ledger/shadow_retrieval.py, adrl/ledger/verification.py | tests citing id: none (covered indirectly)","Field-level data inventory (381 entries) enforced by a check, per-session encryption of prompt-class fields including captures, journal and launch metadata, keyed hashes, retroactive pin shredding with index rebuild (test_privacy_artefacts).",D2 for the replacement's storage-class and late-pin clauses as tested,"agree with the claimed D2; the field's statement that storage-class, retention and late-pin clauses 'have no implementation' is stale","Temporary plaintext materialisations, container writable layers, WAL and backups outside the proof; 2026-09-03 amendment pending disposition.",Dispose the amendment; erasure proof over every inventoried store; active-copy custody (next W3 packet).,P1 / P2; W3 (baseline review wave W3),INDEX row omits the five latest W3 sections.
ADRL-MEM-006,"Memory facade, fail-safe but never silent",MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested for the facade/NullProvider path; the ""SQLite is not a semantic dependency"" claim is D1 at best because sticky session state lives outside the facade in a process-local dict",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested for the facade/NullProvider path; the ""SQLite is not a semantic dependency"" claim is D1 at best because sticky session state lives outside the facade in a process-local dict",07 Sept sections: Product service evidence | changelog rows dated 07/08: 1/0 | decision text unchanged,"modules: adrl/core/ports.py, adrl/learning/abstention.py, adrl/ledger/facade.py, adrl/ledger/readiness.py, adrl/ledger/state.py, adrl/ledger/store.py, adrl/proxy/observe_only.py, adrl/telemetry/metrics.py | tests citing id: tests/unit/gates/test_pin_write_failure.py, tests/unit/test_ledger_cancellation.py","Fail-safe facade with FULL synchronisation, cancellation-safe writer, no acknowledgement on storage failure; tested 2026-09-07.",D2,agree,Process-local caches remain declared gaps.,Organic shadow with unlogged-path observability metric.,P1; W6 (baseline review wave W5),ok
ADRL-MEM-007,Projections are rebuildable and versioned,MEM,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested, conditional on a rebuild-equivalence test existing; if cross-process detection relies on file mtime it is D1",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested, conditional on a rebuild-equivalence test existing; if cross-process detection relies on file mtime it is D1",08 Sept sections: Context-graph planning note | changelog rows dated 07/08: 0/0 | decision text unchanged | Context-graph planning note (2026-09-08) added without a changelog row.,"modules: adrl/learning/dataset.py, adrl/ledger/erasure.py, adrl/ledger/projections.py, adrl/ledger/replay.py, adrl/ledger/shadow_retrieval.py, adrl/ledger/store.py | tests citing id: none (covered indirectly)","Stamped NumPy projection, incremental-equals-full rebuild test, erasure-driven rebuild test, data_version change detection.",D2 (the review's rebuild-equivalence condition is met),agree,Rebuild budget unrecorded; as-of rebuild for LRN-004 not implemented.,As-of projection rebuild and recorded rebuild time.,P1 / P3 (context graph); W8B (baseline review wave W8B),2026-09-08 context-graph planning note was added without a changelog row. | INDEX row omits 2026-09-08 sections: Context-graph planning
ADRL-MEM-008,Retrieval stays advisory until gated,MEM,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D3 Shadow, review recommends D3 Shadow — `shadow_retrieval.py` runs against real traffic without authority, which is the D3 definition; the shadow *measurement* itself is thin (34/300 evaluated decisions) but that is what D3 is for",Accepted · unchanged,"D3 Shadow, review recommends D3 Shadow — `shadow_retrieval.py` runs against real traffic without authority, which is the D3 definition; the shadow *measurement* itself is thin (34/300 evaluated decisions) but that is what D3 is for",08 Sept sections: Context-graph planning note | changelog rows dated 07/08: 0/0 | decision text unchanged | Context-graph planning note (2026-09-08) added without a changelog row.,modules: adrl/ledger/shadow_retrieval.py | tests citing id: none (covered indirectly),Shadow retrieval writes only to the ledger with no import into routing; no organic traffic in adrl-core.,D2,recorded-higher (historical D3 measured 34/300 decisions in the old repository; adrl-core has no shadow window),No shadow metric defined for adrl-core; context-graph proposal undisposed.,Defined shadow metric on an organic window with the suppressed fraction reported; EVL-004 representativeness gate.,P3 (retrieval evaluation); W8B (baseline review wave W9),2026-09-08 context-graph planning note was added without a changelog row. | INDEX row omits 2026-09-08 sections: Context-graph planning
ADRL-MEM-009,Counterfactuals bind only to explicit route_id,MEM,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested — `counterfactual.py` and `live_verification.py` enforce explicit binding under test; usable volume is very low but that is a corpus fact, not a maturity fact",Accepted · unchanged,"D2 Tested, review recommends D2 Tested — `counterfactual.py` and `live_verification.py` enforce explicit binding under test; usable volume is very low but that is a corpus fact, not a maturity fact",none,"modules: adrl/learning/pairs.py, adrl/ledger/counterfactual.py, adrl/ledger/events.py, adrl/ledger/verification.py | tests citing id: none (covered indirectly)","Explicit route_id binding for counterfactuals and pairs, tested.",D2,agree,No usable pair volume.,First organic branched pairs.,P5; W9 (baseline review wave W7),ok
ADRL-MEM-010,Retention and erasure of ledger and derived artefacts,MEM,"Proposed 2026-09-02 (new, from adversarial review) · amended 2026-09-03 (proposed amendment, pending disposition) [7 Sept baseline; 2 Sept commit: status differs, maturity differs]",Historical review baseline: D0. Product observation erasure has scoped D2 evidence (2026-09-07); full ledger/derived-data/client-copy erasure remains incomplete,"Proposed 2026-09-02 (new, from adversarial review) · amended 2026-09-03 (proposed amendment, pending disposition)",Historical review baseline: D0. Product observation erasure has scoped D2 evidence (2026-09-07); full ledger/derived-data/client-copy erasure remains incomplete,08 Sept sections: W3.1 retained operator captures; W3.2a operator attempt journal; W3.2b2a reserved terminal capacity; W3.2b2b1 persistent key revocation; W3.2b2b2 process coordination; W3.2b2c writer-boundary research; W3.2b2d1 stopped resource ownership; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | 07 Sept sections: Product service evidence; Session verification implementation; Offline verifier improvement implementation | changelog rows dated 07/08: 4/11 | decision text unchanged | Maturity field rewritten 2026-09-07 (D0 -> historical D0 plus scoped D2 observation erasure).,"modules: adrl/api/store.py, adrl/cli/improvement.py, adrl/cli/ledger_commands.py, adrl/config/models.py, adrl/core/attempt_coordinator.py, adrl/core/isolated_execution.py, adrl/core/launch_markers.py, adrl/core/ports.py, adrl/core/resource_owner.py, adrl/ledger/attempts.py, adrl/ledger/capture.py, adrl/ledger/crypto.py, adrl/ledger/embeddings.py, adrl/ledger/erasure.py, adrl/ledger/events.py, adrl/ledger/improvement.py, adrl/ledger/keystore.py, adrl/ledger/projections.py, adrl/ledger/retention.py, adrl/ledger/session_verification.py, adrl/ledger/verification.py | tests citing id: tests/integration/test_cli_verify_snapshot.py, tests/unit/learning/test_improvement.py, tests/unit/ledger/test_data_inventory.py, tests/unit/test_attempt_coordinator.py, tests/unit/test_capture.py, tests/unit/test_key_revocation.py, tests/unit/test_resource_owner.py","Crypto-shredding by session, persistent key revocation before mutation (denies restored keys and same-session recreation after audit failure), erasure denial across captures, journal and product access, host-authenticated cleanup of stopped/active fixtures after content-key erasure.",D2 for the scoped shredding and revocation behaviour; D0 for erasure proof over WAL and backups and for retention periods,agree with the scoped field statement,"Retention sweep has a unit test but no measured periods; active plaintext copies, snapshots and backups unproven; client outbox not erased by the server.",Erasure proof reading every inventoried store including WAL and backup; active-copy custody contract; measured retention periods.,P1 / P2; W3 (baseline review wave W3),INDEX row omits the five latest W3 sections.
ADRL-OPS-001,Multi-worker consistency and the single-process constraint,OPS,"Proposed 2026-09-03 (first capture; referenced by MEM-006, CAS-006, SEM-002 since 2026-08-27) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D1 Code; adrl-core keeps sticky state and pins behind a `StateProvider` port with a SQLite adapter and declares the remaining process-local state (pending escalations, verifier consumption, parent map priming) in `docs/known-gaps.md`; no multi-process deployment has been attempted","Proposed 2026-09-03 (first capture; referenced by MEM-006, CAS-006, SEM-002 since 2026-08-27)","D1 Code; adrl-core keeps sticky state and pins behind a `StateProvider` port with a SQLite adapter and declares the remaining process-local state (pending escalations, verifier consumption, parent map priming) in `docs/known-gaps.md`; no multi-process deployment has been attempted",08 Sept sections: W3.2a operator attempt journal; W3.2b1 owned process groups; W3.2b2a reserved terminal capacity; W3.2b2b1 persistent key revocation; W3.2b2b2 process coordination; W3.2b2c writer-boundary research; W3.2b2d1 stopped resource ownership; W3.2b2d2 launch-contract research and identity gate; W3.2 execution identity and launch research; W3.2 one-shot fixture runtime prototype; W3.2 receipt correction and pinned-engine validation | 07 Sept sections: W0 execution baseline | changelog rows dated 07/08: 1/11 | decision text unchanged,"modules: adrl/cli/main.py, adrl/config/settings.py, adrl/core/attempt_coordinator.py, adrl/core/container_control.py, adrl/core/execution_control.py, adrl/core/isolated_execution.py, adrl/core/launch_markers.py, adrl/core/process_anchor.py, adrl/core/process_owner.py, adrl/core/resource_owner.py, adrl/ledger/attempts.py, adrl/ledger/keystore.py, adrl/telemetry/logging.py | tests citing id: tests/fixtures/launch_owner.py, tests/integration/test_launch_engine.py, tests/integration/test_resource_engine.py, tests/unit/test_attempt_capacity.py, tests/unit/test_attempt_coordinator.py, tests/unit/test_attempts.py, tests/unit/test_create_receipt.py, tests/unit/test_isolated_execution.py, tests/unit/test_key_revocation.py, tests/unit/test_process_owner.py, tests/unit/test_resource_owner.py","SQLite single-writer provider; W3 primitives mapped to this decision: attempt journal reservation, owned process groups, coordinator fences, keystore locks, stopped-resource ownership, one-shot isolated execution on a pinned engine (engine cases passed once with zero skips on 2026-09-08). The decision's own clauses (state inventory, startup lock, second-worker refusal) are not implemented.",D2 for the W3 synthetic execution/ownership primitives; D1 for the decision as written,agree for the decision; the eight W3 modules citing OPS-001 as primary owner attach large tested progress to a decision whose own clauses remain unbuilt,No multi-process qualification; engine tests skipped in later offline runs; no independent review.,state-inventory-v1 and startup lock with tests; then the decision can be D2.,P1 / P2 (local operation); W3 (baseline review wave W0),INDEX row omits the five latest W3 sections; ownership mapping is loose (execution backend modules cite an OPS multi-worker decision).
ADRL-OPS-002,Key custody and rotation,OPS,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; adrl-core has a file keystore for the host HMAC key and per-session keys, but the manifest-signing development key also signs egress checkpoints and is loaded unconditionally (2026-09-03 external review, P0)",Proposed 2026-09-03 (first capture),"D0 Design; adrl-core has a file keystore for the host HMAC key and per-session keys, but the manifest-signing development key also signs egress checkpoints and is loaded unconditionally (2026-09-03 external review, P0)",none,modules: adrl/ledger/anchoring.py | tests citing id: none (covered indirectly),Separate checkpoint signing key with dev-key refusal unless explicitly allowed; per-session keystore with revocation; no custodians or rotation procedure.,D2 for checkpoint key custody subset; D0 for rotation and custodians,"recorded-lower (field says the dev key is loaded unconditionally, which the 2026-09-03 closure removed)",Graduation-record signing key still a development key.,Key classes with custodians and rotation; non-dev graduation key.,P2 / P7; W6 (baseline review wave W6),Maturity field stale since 2026-09-03; no two-day change.
ADRL-OPS-003,"Endpoint inventory, rollout and change control",OPS,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; adrl-core generates a LiteLLM config from `rungs.yaml` and `gateway-endpoints.yaml` with rung-closed checks, but the inventory is unsigned and carries no trust zone, so a local group pointed at an external host passes every check (2026-09-03 external review, P0)",Proposed 2026-09-03 (first capture),"D0 Design; adrl-core generates a LiteLLM config from `rungs.yaml` and `gateway-endpoints.yaml` with rung-closed checks, but the inventory is unsigned and carries no trust zone, so a local group pointed at an external host passes every check (2026-09-03 external review, P0)",07 Sept sections: W0 execution baseline | changelog rows dated 07/08: 1/0 | decision text unchanged,modules: adrl/config/checks.py | tests citing id: none (covered indirectly),Signed endpoint inventory with trust zone and geography; config checks refuse non-loopback local deployments; W0 reconciled documentation.,D2 for the tested inventory checks,recorded-lower (field says the inventory is unsigned and carries no trust zone; closed 2026-09-03),No rollout or change-control procedure.,Field update; rollout/change-control procedure exercised.,P1 / P4; W6 (baseline review wave W0),Maturity field stale since 2026-09-03.
ADRL-OPS-004,"Backup, restore and erasure",OPS,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; adrl-core has replay from events and crypto-shredding by session, but no backup procedure, and prompt-class fields still exist in plaintext rows (2026-09-03 external review, P1)",Proposed 2026-09-03 (first capture),"D0 Design; adrl-core has replay from events and crypto-shredding by session, but no backup procedure, and prompt-class fields still exist in plaintext rows (2026-09-03 external review, P1)",none,modules: adrl/ledger/erasure.py | tests citing id: none (covered indirectly),Crypto-shredding by session and replay from events; no backup or restore procedure.,D1 (mechanisms tested but the backup/restore/erasure procedure absent),recorded-lower slightly (D0 field; shredding is tested),Backups and WAL outside erasure proof.,Backup/restore procedure with erasure proof over a restored backup.,P1; W3 (baseline review wave W6),ok
